variable,table,order_index,order_df8_tables,is_coded,coded_na_values,var_df11,var_in_df8
stonerws,v210,117,10003,TRUE,-1,mod_disturb_stonerows,TRUE
rcntbldg,v210,118,10004,TRUE,-1,mod_disturb_recentbuild,TRUE
dam,v210,119,10005,TRUE,-1,mod_disturb_dam,TRUE
jaguey,v210,120,10006,TRUE,-1,mod_disturb_jaguey,TRUE
erosion,v210,121,10007,TRUE,-1,mod_disturb_erosion,TRUE
silting,v210,122,10008,TRUE,-1,mod_disturb_silting,TRUE
obscsite,v210,123,10009,TRUE,-1,mod_disturb_tot,TRUE
slope,v210,124,10010,TRUE,-1,mod_slope,TRUE
gswkshop,v210,125,10011,TRUE,-1,art_lith_gs_wrkshp_field,TRUE
obwkshop,v210,126,10012,TRUE,-1,art_lith_obs_wrkshp_field,TRUE
manos,v210,127,10013,FALSE,-1,art_lith_gs_manos,TRUE
ssn,v211,0,11001,FALSE,,meta_id_ssn,TRUE
metates,v211,128,11002,FALSE,-1,art_lith_gs_metates,TRUE
mortars,v211,129,11003,FALSE,-1,art_lith_gs_mortars,TRUE
pestles,v211,130,11004,FALSE,-1,art_lith_gs_pestles,TRUE
psmoothr,v211,131,11005,FALSE,-1,art_lith_gs_plastersmoothers,TRUE
plumbbob,v211,132,11006,FALSE,-1,art_lith_gs_plumbbobs,TRUE
firegods,v211,134,11008,FALSE,-1,art_lith_gs_firegods,TRUE
mscstnsc,v211,135,11009,FALSE,-1,art_lith_gs_sculpturefrags,TRUE
hammers,v211,136,11010,FALSE,-1,art_lith_gs_hammerstones,TRUE
slingstn,v211,137,11011,FALSE,-1,art_lith_gs_slingstones,TRUE
smthstn,v211,138,11012,FALSE,-1,art_lith_gs_smoothstones,TRUE
whetstn,v211,139,11013,FALSE,-1,art_lith_gs_whetstones,TRUE
ssn,v212,0,12001,FALSE,,meta_id_ssn,TRUE
palettes,v212,140,12002,FALSE,-1,art_lith_gs_palettes,TRUE
celts,v212,141,12003,FALSE,-1,art_lith_gs_celts,TRUE
rwkdlaja,v212,142,12004,FALSE,-1,art_lith_gs_lajasreworked,TRUE
anvils,v212,143,12005,FALSE,-1,art_lith_gs_anvils,TRUE
draincvr,v212,145,12007,FALSE,-1,art_lith_gs_draincovers,TRUE
othergs,v212,146,12008,FALSE,-1,art_lith_gs_other,TRUE
obsikniv,v212,153,12009,FALSE,-1,art_lith_obs_knives,TRUE
obsiecce,v212,154,12010,FALSE,-1,art_lith_obs_eccentrics,TRUE
obsimgsc,v212,155,12011,FALSE,-1,art_lith_obs_scrapersmaguey,TRUE
bslttool,v212,159,12012,FALSE,-1,art_lith_basalt_tools,TRUE
chrtfrag,v212,160,12013,FALSE,-1,art_lith_chert_tot,TRUE
ssn,v213,0,13001,FALSE,,meta_id_ssn,TRUE
quartz,v213,161,13002,FALSE,-1,art_lith_quartz_tot,TRUE
slatetot,v213,162,13003,FALSE,-1,art_lith_slate_tot,TRUE
slatepnt,v213,163,13004,FALSE,-1,art_lith_slate_painted,TRUE
alabastr,v213,164,13005,FALSE,-1,art_lith_alabaster,TRUE
serpentn,v213,165,13006,FALSE,-1,art_lith_serpentine_tot,TRUE
jade,v213,166,13007,FALSE,-1,art_lith_jade_tot,TRUE
wrkdbone,v213,167,13008,FALSE,-1,art_bone_worked,TRUE
wrkdbone,v213,293,13008,FALSE,-1,art_bone_unworked,TRUE
shelltot,v213,168,13009,FALSE,-1,art_shell_tot,TRUE
shellwkd,v213,169,13010,FALSE,-1,art_shell_worked,TRUE
figheads,v213,171,13011,FALSE,-1,art_cer_fig_head,TRUE
ppatfigs,v213,172,13012,FALSE,-1,art_cer_fig_pre_patl,TRUE
patlfigs,v213,173,13013,FALSE,-1,art_cer_fig_patl,TRUE
ssn,v214,0,14001,FALSE,,meta_id_ssn,TRUE
tzacfigs,v214,174,14002,FALSE,-1,art_cer_fig_tzac,TRUE
miccfigs,v214,175,14003,FALSE,-1,art_cer_fig_micc,TRUE
tlamfigs,v214,176,14004,FALSE,-1,art_cer_fig_tlam,TRUE
xolafigs,v214,177,14005,FALSE,-1,art_cer_fig_xola,TRUE
metefigs,v214,178,14006,FALSE,-1,art_cer_fig_mete,TRUE
toltfigs,v214,179,14007,FALSE,-1,art_cer_fig_toltec,TRUE
aztefigs,v214,180,14008,FALSE,-1,art_cer_fig_aztec,TRUE
puppfigs,v214,181,14009,FALSE,-1,art_cer_fig_pupp,TRUE
spinwhrl,v214,182,14010,FALSE,-1,art_cer_spwhorl,TRUE
sealstmp,v214,183,14011,FALSE,-1,art_cer_sealstamp,TRUE
earspool,v214,184,14012,FALSE,-1,art_cer_earspool,TRUE
whistles,v214,185,14013,FALSE,-1,art_cer_whistle,TRUE
ssn,v215,0,15001,FALSE,,meta_id_ssn,TRUE
flutes,v215,186,15002,FALSE,-1,art_cer_flute,TRUE
ceranwk1,v215,187,15003,TRUE,-1,meta_pers_lab1,TRUE
ceranwk2,v215,188,15004,TRUE,-1,meta_pers_lab2,TRUE
ceranwk3,v215,189,15005,TRUE,-1,meta_pers_lab3,TRUE
ceranyr,v215,190,15006,FALSE,-1,meta_time_analysis_yr,TRUE
ceranqt,v215,191,15007,TRUE,-1,meta_time_analysis_qtr,TRUE
fldcwksh,v215,192,15008,TRUE,-1,art_cer_wrkshp_field,TRUE
fldcabun,v215,193,15009,TRUE,-1,art_cer_abundance,TRUE
coatcand,v215,195,15010,FALSE,-1,art_cer_cand_coat,TRUE
atoycand,v215,196,15011,FALSE,-1,art_cer_cand_atoy,TRUE
exolcand,v215,197,15012,FALSE,-1,art_cer_cand_exol,TRUE
lxolcand,v215,198,15013,FALSE,-1,art_cer_cand_lxol,TRUE
ssn,v216,0,16001,FALSE,,meta_id_ssn,TRUE
othpclas,v216,205,16002,FALSE,-1,art_cer_tot_precl,TRUE
ppatcnsr,v216,219,16003,FALSE,-1,art_cer_censer_precl,TRUE
patlcnsr,v216,220,16004,FALSE,-1,art_cer_censer_patl,TRUE
tzaccnsr,v216,221,16005,FALSE,-1,art_cer_censer_tzac,TRUE
oxtocnsr,v216,226,16006,FALSE,-1,art_cer_censer_oxto,TRUE
xomecnsr,v216,227,16007,FALSE,-1,art_cer_censer_xome,TRUE
mazacnsr,v216,228,16008,FALSE,-1,art_cer_censer_maza,TRUE
aztecnsr,v216,229,16009,FALSE,-1,art_cer_censer_aztec,TRUE
tlamsmo,v216,234,16010,FALSE,-1,art_cer_smo_tlam,TRUE
patlcoml,v216,245,16011,FALSE,-1,art_cer_comal_patl,TRUE
tzaccoml,v216,246,16012,FALSE,-1,art_cer_comal_tzac,TRUE
micccoml,v216,247,16013,FALSE,-1,art_cer_comal_micc,TRUE
ssn,v217,0,17001,FALSE,,meta_id_ssn,TRUE
tlamcoml,v217,248,17002,FALSE,-1,art_cer_comal_tlam,TRUE
oxtocoml,v217,251,17003,FALSE,-1,art_cer_comal_oxto,TRUE
patlnubb,v217,254,17004,FALSE,-1,art_cer_nubbin_patl,TRUE
apetnubb,v217,255,17005,FALSE,-1,art_cer_nubbin_apet,TRUE
instnubb,v217,256,17006,FALSE,-1,art_cer_nubbin_inset,TRUE
flshnubb,v217,257,17007,FALSE,-1,art_cer_nubbin_flush,TRUE
atoynubb,v217,258,17008,FALSE,-1,art_cer_nubbin_atoy,TRUE
xolanubb,v217,259,17009,FALSE,-1,art_cer_nubbin_xola,TRUE
metenubb,v217,260,17010,FALSE,-1,art_cer_nubbin_mete,TRUE
stmpshrd,v217,261,17011,FALSE,-1,art_cer_stamped,TRUE
plrfshrd,v217,262,17012,FALSE,-1,art_cer_planorelief,TRUE
stccshrd,v217,263,17013,FALSE,-1,art_cer_stucco,TRUE
ssn,v218,0,18001,FALSE,,meta_id_ssn,TRUE
incishrd,v218,264,18002,FALSE,-1,art_cer_incised,TRUE
frnshtot,v218,265,18003,FALSE,-1,art_cer_foreign_tot,TRUE
lowmaya,v218,266,18004,FALSE,-1,art_cer_foreign_mayalow,TRUE
highmaya,v218,267,18005,FALSE,-1,art_cer_foreign_mayahigh,TRUE
huastec,v218,268,18006,FALSE,-1,art_cer_foreign_huastec,TRUE
tajin,v218,269,18007,FALSE,-1,art_cer_foreign_tajin,TRUE
gulfcst,v218,270,18008,FALSE,-1,art_cer_foreign_gulfcoast,TRUE
montealb,v218,271,18009,FALSE,-1,art_cer_foreign_montealban,TRUE
oaxaca,v218,272,18010,FALSE,-1,art_cer_foreign_oaxaca,TRUE
othfrn,v218,273,18011,FALSE,-1,art_cer_foreign_other,TRUE
adornos,v218,274,18012,FALSE,-1,art_cer_adornos,TRUE
miniatur,v218,275,18013,FALSE,-1,art_cer_mini,TRUE
ssn,v219,0,19001,FALSE,,meta_id_ssn,TRUE
copas,v219,276,19002,FALSE,-1,art_cer_copas,TRUE
mattware,v219,277,19003,FALSE,-1,art_cer_matteware,TRUE
grantots,v219,278,19004,FALSE,-1,art_cer_gran_tot,TRUE
pmicgran,v219,279,19005,FALSE,-1,art_cer_gran_pmic,TRUE
miccgran,v219,280,19006,FALSE,-1,art_cer_gran_micc,TRUE
tlamgran,v219,281,19007,FALSE,-1,art_cer_gran_tlam,TRUE
xolagran,v219,282,19008,FALSE,-1,art_cer_gran_xola,TRUE
metegran,v219,283,19009,FALSE,-1,art_cer_gran_mete,TRUE
ceradisk,v219,284,19010,FALSE,-1,art_cer_disk,TRUE
sobsiwk1,v219,285,19011,TRUE,-1,art_lith_obs_wkshp_spence_phase1,TRUE
sobsiwk2,v219,286,19012,TRUE,-1,art_lith_obs_wkshp_spence_phase2,TRUE
kcerawks,v219,287,19013,TRUE,-1,art_cer_wkshp_krotser,TRUE
ssn,v220,0,20001,FALSE,,meta_id_ssn,TRUE
bfigconc,v220,288,20002,TRUE,-1,art_cer_fig_conc_barbour,TRUE
insubstr,v220,290,20003,FALSE,-1,arch_struct_insubstantial,TRUE
qualbnd,v220,291,20004,TRUE,-1,arch_struct_boundary_dataquality,TRUE
ssn,v301,0,31001,FALSE,,meta_id_ssn,TRUE
site,v301,1,31002,FALSE,,meta_loc_site,TRUE
obsiblds,v301,148,31003,FALSE,-1,art_lith_obs_blades,TRUE
obsiscrp,v301,150,31004,FALSE,-1,art_lith_obs_scrapers,TRUE
obsipnts,v301,151,31005,FALSE,-1,art_lith_obs_points,TRUE
obsicors,v301,152,31006,FALSE,-1,art_lith_obs_cores,TRUE
obsiuflk,v301,156,31007,FALSE,-1,art_lith_obs_utilizedflakes,TRUE
obsinods,v301,157,31008,FALSE,-1,art_lith_obs_nodules,TRUE
bslttots,v301,158,31009,FALSE,-1,art_lith_basalt_tot,TRUE
figutots,v301,170,31010,FALSE,-1,art_cer_fig_tot,TRUE
candtots,v301,194,31011,FALSE,-1,art_cer_cand_tot,TRUE
metecand,v301,199,31012,FALSE,-1,art_cer_cand_mete,TRUE
commcand,v301,200,31013,FALSE,-1,art_cer_cand_common,TRUE
ssn,v302,0,32001,FALSE,,meta_id_ssn,TRUE
brn3prng,v302,201,32002,FALSE,-1,art_cer_burner3p,TRUE
handcovr,v302,202,32003,FALSE,-1,art_cer_coverhandled,TRUE
cuanalan,v302,206,32004,FALSE,-1,art_cer_tot_cuan,TRUE
tezoyuca,v302,207,32005,FALSE,-1,art_cer_tot_tezo,TRUE
patlachi,v302,208,32006,FALSE,-1,art_cer_tot_patl,TRUE
tzacuall,v302,209,32007,FALSE,-1,art_cer_tot_tzac,TRUE
miccaotl,v302,210,32008,FALSE,-1,art_cer_tot_micc,TRUE
tlamimil,v302,211,32009,FALSE,-1,art_cer_tot_tlam,TRUE
xolalpan,v302,212,32010,FALSE,-1,art_cer_tot_xola,TRUE
metepec,v302,213,32011,FALSE,-1,art_cer_tot_mete,TRUE
oxtotipa,v302,214,32012,FALSE,-1,art_cer_tot_oxto,TRUE
xometla,v302,215,32013,FALSE,-1,art_cer_tot_xome,TRUE
ssn,v303,0,33001,FALSE,,meta_id_ssn,TRUE
mazapan,v303,216,33002,FALSE,-1,art_cer_tot_maza,TRUE
aztec,v303,217,33003,FALSE,-1,art_cer_tot_aztec,TRUE
cnsrtots,v303,218,33004,FALSE,-1,art_cer_censer_tot,TRUE
micccnsr,v303,222,33005,FALSE,-1,art_cer_censer_micc,TRUE
tlamcnsr,v303,223,33006,FALSE,-1,art_cer_censer_tlam,TRUE
xolacnsr,v303,224,33007,FALSE,-1,art_cer_censer_xola,TRUE
metecnsr,v303,225,33008,FALSE,-1,art_cer_censer_mete,TRUE
thnotots,v303,230,33009,FALSE,-1,art_cer_to_tot,TRUE
regthno,v303,231,33010,FALSE,-1,art_cer_to_regular,TRUE
crsthno,v303,232,33011,FALSE,-1,art_cer_to_coarse,TRUE
smotots,v303,233,33012,FALSE,-1,art_cer_smo_tot,TRUE
xolasmo,v303,235,33013,FALSE,-1,art_cer_smo_xola,TRUE
ssn,v304,0,34001,FALSE,,meta_id_ssn,TRUE
metesmo,v304,236,34002,FALSE,-1,art_cer_smo_mete,TRUE
ollatot,v304,237,34003,FALSE,-1,art_cer_olla_tot,TRUE
patlolla,v304,238,34004,FALSE,-1,art_cer_olla_patl,TRUE
wdgrolla,v304,239,34005,FALSE,-1,art_cer_olla_wedge,TRUE
miccolla,v304,240,34006,FALSE,-1,art_cer_olla_micc,TRUE
tlamolla,v304,241,34007,FALSE,-1,art_cer_olla_tlam,TRUE
xolaolla,v304,242,34008,FALSE,-1,art_cer_olla_xola,TRUE
meteolla,v304,243,34009,FALSE,-1,art_cer_olla_mete,TRUE
comltots,v304,244,34010,FALSE,-1,art_cer_comal_tot,TRUE
xolacoml,v304,249,34011,FALSE,-1,art_cer_comal_xola,TRUE
metecoml,v304,250,34012,FALSE,-1,art_cer_comal_mete,TRUE
poxtcoml,v304,252,34013,FALSE,-1,art_cer_comal_postcl,TRUE
ssn,v305,0,35001,FALSE,,meta_id_ssn,TRUE
nubbtots,v305,253,35002,FALSE,-1,art_cer_nubbin_tot,TRUE
ssn,v401,0,41001,FALSE,,meta_id_ssn,TRUE
subsite,v401,2,41002,FALSE,NONE,meta_loc_subsite,TRUE
unit,v401,3,41003,FALSE,,meta_loc_unit,TRUE
northing,v401,4,41004,FALSE,-999,meta_loc_northing,TRUE
easting,v401,5,41005,FALSE,-999,meta_loc_easting,TRUE
cxunit,v401,81,41006,FALSE,XXXX,arch_cplx_unit,TRUE
mcxunit,v401,83,41007,FALSE,XXXX,arch_mcplx_unit,TRUE
obsitots,v401,147,41008,FALSE,-1,art_lith_obs_tot,TRUE
obsiwste,v401,149,41009,FALSE,-1,art_lith_obs_waste,TRUE
areasite,v401,203,41010,FALSE,-1,meta_loc_site_area,TRUE
shrdstot,v401,204,41011,FALSE,-1,art_cer_tot_all,TRUE
areastrc,v401,289,41012,FALSE,-1,arch_struct_area,TRUE
,,292,,FALSE,-1,arch_plazas_norwood,FALSE
,,294,,FALSE,-1,art_lith_obs_bifaces,FALSE
,,295,,FALSE,-1,art_lith_greenstone_tot,FALSE
,,296,,FALSE,-1,art_cer_tot_coyo,FALSE
,,297,,FALSE,-1,art_cer_censer_late,FALSE
,,298,,FALSE,-1,art_cer_granular,FALSE
