variable,table,order_index,order_df9_tables,is_coded,coded_na_values,code_table,code_col,label_col,var_df11,var_in_df9
ceramicField,workshop,192,8004,TRUE,-1,Codes_workshopField,code,description,art_cer_wrkshp_field,TRUE
obsidianSpencePhase1,workshop,285,8005,TRUE,-1,Codes_workshopSpence1,code,description,art_lith_obs_wkshp_spence_phase1,TRUE
obsidianSpencePhase2,workshop,286,8006,TRUE,-1,Codes_workshopSpence2,code,description,art_lith_obs_wkshp_spence_phase2,TRUE
ceramicKrotser,workshop,287,8007,TRUE,-1,Codes_workshopKrotser,code,description,art_cer_wkshp_krotser,TRUE
figurineConcBarbour,workshop,288,8008,TRUE,-1,Codes_figurineConcBarbour,code,description,art_cer_fig_conc_barbour,TRUE
ssn,Plazas,0,9001,FALSE,,,,,meta_id_ssn,TRUE
PlazaNo,Plazas,292,9002,FALSE,-1,,,,arch_plazas_norwood,TRUE
ssn,cerVessel,0,10001,FALSE,,,,,meta_id_ssn,TRUE
ollaTot,cerVessel,237,10002,FALSE,-1,,,,art_cer_olla_tot,TRUE
ollaPatl,cerVessel,238,10003,FALSE,-1,,,,art_cer_olla_patl,TRUE
ollaWedge,cerVessel,239,10004,FALSE,-1,,,,art_cer_olla_wedge,TRUE
ollaMicc,cerVessel,240,10005,FALSE,-1,,,,art_cer_olla_micc,TRUE
ollaTlam,cerVessel,241,10006,FALSE,-1,,,,art_cer_olla_tlam,TRUE
ollaXola,cerVessel,242,10007,FALSE,-1,,,,art_cer_olla_xola,TRUE
ollaMete,cerVessel,243,10008,FALSE,-1,,,,art_cer_olla_mete,TRUE
comalTot,cerVessel,244,10009,FALSE,-1,,,,art_cer_comal_tot,TRUE
comalPatl,cerVessel,245,10010,FALSE,-1,,,,art_cer_comal_patl,TRUE
comalTzac,cerVessel,246,10011,FALSE,-1,,,,art_cer_comal_tzac,TRUE
comalMicc,cerVessel,247,10012,FALSE,-1,,,,art_cer_comal_micc,TRUE
comalTlam,cerVessel,248,10013,FALSE,-1,,,,art_cer_comal_tlam,TRUE
comalXola,cerVessel,249,10014,FALSE,-1,,,,art_cer_comal_xola,TRUE
comalMete,cerVessel,250,10015,FALSE,-1,,,,art_cer_comal_mete,TRUE
comalOxto,cerVessel,251,10016,FALSE,-1,,,,art_cer_comal_oxto,TRUE
comalPOxt,cerVessel,252,10017,FALSE,-1,,,,art_cer_comal_postcl,TRUE
censerTot,cerVessel,218,10018,FALSE,-1,,,,art_cer_censer_tot,TRUE
censerPPat,cerVessel,219,10019,FALSE,-1,,,,art_cer_censer_precl,TRUE
censerPatl,cerVessel,220,10020,FALSE,-1,,,,art_cer_censer_patl,TRUE
censerTzac,cerVessel,221,10021,FALSE,-1,,,,art_cer_censer_tzac,TRUE
censerMicc,cerVessel,222,10022,FALSE,-1,,,,art_cer_censer_micc,TRUE
censerTlam,cerVessel,223,10023,FALSE,-1,,,,art_cer_censer_tlam,TRUE
censerXola,cerVessel,224,10024,FALSE,-1,,,,art_cer_censer_xola,TRUE
censerMete,cerVessel,225,10025,FALSE,-1,,,,art_cer_censer_mete,TRUE
censerOxto,cerVessel,226,10026,FALSE,-1,,,,art_cer_censer_oxto,TRUE
censerXome,cerVessel,227,10027,FALSE,-1,,,,art_cer_censer_xome,TRUE
censerMaza,cerVessel,228,10028,FALSE,-1,,,,art_cer_censer_maza,TRUE
censerAzte,cerVessel,229,10029,FALSE,-1,,,,art_cer_censer_aztec,TRUE
nubbinTot,cerVessel,253,10030,FALSE,-1,,,,art_cer_nubbin_tot,TRUE
nubbinPatl,cerVessel,254,10031,FALSE,-1,,,,art_cer_nubbin_patl,TRUE
nubbinApet,cerVessel,255,10032,FALSE,-1,,,,art_cer_nubbin_apet,TRUE
nubbinInset,cerVessel,256,10033,FALSE,-1,,,,art_cer_nubbin_inset,TRUE
nubbinFlush,cerVessel,257,10034,FALSE,-1,,,,art_cer_nubbin_flush,TRUE
nubbinAtoy,cerVessel,258,10035,FALSE,-1,,,,art_cer_nubbin_atoy,TRUE
nubbinXola,cerVessel,259,10036,FALSE,-1,,,,art_cer_nubbin_xola,TRUE
nubbinMete,cerVessel,260,10037,FALSE,-1,,,,art_cer_nubbin_mete,TRUE
toTot,cerVessel,230,10038,FALSE,-1,,,,art_cer_to_tot,TRUE
toRegular,cerVessel,231,10039,FALSE,-1,,,,art_cer_to_regular,TRUE
toCoarse,cerVessel,232,10040,FALSE,-1,,,,art_cer_to_coarse,TRUE
smoTot,cerVessel,233,10041,FALSE,-1,,,,art_cer_smo_tot,TRUE
smoTlam,cerVessel,234,10042,FALSE,-1,,,,art_cer_smo_tlam,TRUE
smoXola,cerVessel,235,10043,FALSE,-1,,,,art_cer_smo_xola,TRUE
smoMete,cerVessel,236,10044,FALSE,-1,,,,art_cer_smo_mete,TRUE
shrdStamped,cerVessel,261,10045,FALSE,-1,,,,art_cer_stamped,TRUE
shrdPlanoR,cerVessel,262,10046,FALSE,-1,,,,art_cer_planorelief,TRUE
